,Week,Date,Time,Datetime,Win
0,1,2011-09-11,1:06PM,2011-09-11 13:06:00,1
1,2,2011-09-18,1:02PM,2011-09-18 13:02:00,0
2,3,2011-09-25,4:15PM,2011-09-25 16:15:00,0
3,4,2011-10-02,1:04PM,2011-10-02 13:04:00,1
4,5,2011-10-10,8:40PM,2011-10-10 20:40:00,0
5,6,2011-10-16,8:30PM,2011-10-16 20:30:00,1
6,7,2011-10-23,1:05PM,2011-10-23 13:05:00,1
7,9,2011-11-07,8:41PM,2011-11-07 20:41:00,1
8,10,2011-11-13,4:16PM,2011-11-13 16:16:00,1
9,11,2011-11-20,4:16PM,2011-11-20 16:16:00,1
10,12,2011-11-27,4:05PM,2011-11-27 16:05:00,0
11,13,2011-12-04,1:03PM,2011-12-04 13:03:00,0
12,14,2011-12-11,4:05PM,2011-12-11 16:05:00,0
13,15,2011-12-18,1:03PM,2011-12-18 13:03:00,0
14,16,2011-12-25,8:30PM,2011-12-25 20:30:00,0
15,17,2012-01-01,1:05PM,2012-01-01 13:05:00,1
0,1,2012-09-09,1:02PM,2012-09-09 13:02:00,1
1,2,2012-09-13,8:29PM,2012-09-13 20:29:00,0
2,3,2012-09-23,1:04PM,2012-09-23 13:04:00,1
3,4,2012-10-01,8:40PM,2012-10-01 20:40:00,1
4,5,2012-10-07,4:05PM,2012-10-07 16:05:00,1
5,7,2012-10-22,8:40PM,2012-10-22 20:40:00,1
6,8,2012-10-28,1:03PM,2012-10-28 13:03:00,1
7,9,2012-11-04,1:04PM,2012-11-04 13:04:00,1
8,10,2012-11-11,8:31PM,2012-11-11 20:31:00,0
9,11,2012-11-19,8:40PM,2012-11-19 20:40:00,0
10,12,2012-11-25,1:00PM,2012-11-25 13:00:00,1
11,13,2012-12-02,1:03PM,2012-12-02 13:03:00,0
12,14,2012-12-09,1:05PM,2012-12-09 13:05:00,0
13,15,2012-12-16,1:03PM,2012-12-16 13:03:00,0
14,16,2012-12-23,4:25PM,2012-12-23 16:25:00,1
15,17,2012-12-30,1:03PM,2012-12-30 13:03:00,1
0,1,2013-09-08,1:02PM,2013-09-08 13:02:00,1
1,2,2013-09-15,1:03PM,2013-09-15 13:03:00,1
2,3,2013-09-22,8:30PM,2013-09-22 20:30:00,1
3,4,2013-09-29,1:03PM,2013-09-29 13:03:00,0
4,5,2013-10-06,1:02PM,2013-10-06 13:02:00,0
5,6,2013-10-10,8:29PM,2013-10-10 20:29:00,1
6,7,2013-10-20,1:05PM,2013-10-20 13:05:00,0
7,9,2013-11-04,8:40PM,2013-11-04 20:40:00,1
