Team	Year	Week	Start_time	Win
CHI	2020	1	2020-09-13 17:00:00	1
CHI	2020	2	2020-09-20 17:00:00	1
CHI	2020	3	2020-09-27 17:00:00	1
CHI	2020	4	2020-10-04 17:00:00	0
CHI	2020	5	2020-10-09 00:20:00	1
CHI	2020	6	2020-10-18 17:00:00	1
CHI	2020	7	2020-10-27 00:15:00	0
CHI	2020	8	2020-11-01 20:15:00	0
CHI	2020	9	2020-11-08 17:00:00	0
CHI	2020	10	2020-11-17 00:15:00	0
CHI	2020	12	2020-11-30 00:20:00	0
CHI	2020	13	2020-12-06 17:00:00	0
CHI	2020	14	2020-12-13 17:00:00	1
CHI	2020	15	2020-12-20 17:00:00	1
CHI	2020	16	2020-12-27 17:00:00	1
CHI	2020	17	2021-01-03 20:25:00	0
